=== ROOT CATEGORIES (parent=0) ===

  [OLD] [7093] FOXAIR (slug: foxair, actual: 0, stored: 0)
  [OLD] [7095] Spedix (slug: spedix, actual: 0, stored: 0)
  [OLD] [7097] Sunnysky (slug: sunnysky-esc-регуляторы, actual: 0, stored: 0)
  [OLD] [7100] XXD (slug: xxd, actual: 0, stored: 0)
  [OLD] [7176] МВМ-АВИА (slug: мвм-авиа-esc-регуляторы, actual: 0, stored: 0)
  [OLD] [7883] Furious Motor (slug: furious-motor, actual: 0, stored: 0)
  [OLD] [7985] ATWAY (slug: atway-esc-регуляторы, actual: 0, stored: 0)
  [OLD] [8048] OddityRC (slug: oddityrc-esc-регуляторы, actual: 0, stored: 0)
[OLD] [751] Камеры и видео (slug: фото-и-видео, actual: 0, stored: 0)
  [OLD] [752] Штативы (slug: штативы, actual: 0, stored: 0)
  [OLD] [755] Фотоаппараты (slug: фотоаппараты, actual: 0, stored: 0)
    [OLD] [6089] Аксессуары (slug: аксессуары-фотоаппараты, actual: 0, stored: 0)
    [OLD] [6502] Sony (slug: sony-фотоаппараты, actual: 0, stored: 0)
  [OLD] [756] Объективы (slug: объективы, actual: 0, stored: 0)
  [OLD] [757] Камеры (slug: камеры, actual: 0, stored: 0)
    [OLD] [4541] Caddx (slug: caddx-камеры, actual: 0, stored: 0)
    [OLD] [4543] Foxeer (slug: foxeer-камеры, actual: 0, stored: 0)
    [OLD] [4545] IFlight (slug: iflight-камеры, actual: 0, stored: 0)
    [OLD] [4603] Аксессуары (slug: аксессуары-камеры, actual: 0, stored: 0)
    [OLD] [4604] Другие производители (slug: другие-производители-камеры, actual: 0, stored: 0)
    [OLD] [4605] DJI (slug: dji-камеры, actual: 0, stored: 0)
    [OLD] [4607] Intel (slug: intel, actual: 0, stored: 0)
    [OLD] [4608] Viewpro (slug: viewpro, actual: 0, stored: 0)
    [OLD] [4897] BEASTFPV (slug: beastfpv-камеры, actual: 0, stored: 0)
    [OLD] [4899] Luxonis (slug: luxonis, actual: 0, stored: 0)
    [OLD] [4901] Runcam (slug: runcam, actual: 0, stored: 0)
    [OLD] [4902] Walksnail (slug: walksnail-камеры, actual: 0, stored: 0)
    [OLD] [4960] Mugin (slug: mugin-камеры, actual: 0, stored: 0)
    [OLD] [5111] GEPRC (slug: geprc-камеры, actual: 0, stored: 0)
    [OLD] [5445] BETAFPV (slug: betafpv-камеры, actual: 0, stored: 0)
    [OLD] [5446] Flywoo (slug: flywoo-камеры, actual: 0, stored: 0)
    [OLD] [5447] HDZero (slug: hdzero-камеры, actual: 0, stored: 0)
    [OLD] [5805] Axisflying (slug: axisflying-камеры, actual: 0, stored: 0)
    [OLD] [5866] Happymodel (slug: happymodel-камеры, actual: 0, stored: 0)
    [OLD] [5867] Jumpeak (slug: jumpeak, actual: 0, stored: 0)
